N55528	lifestyle	lifestyleroyals	The Brands Queen Elizabeth, Prince Charles, and Prince Philip Swear By	Shop the notebooks, jackets, and more that the royals can't live without.	https://assets.msn.com/labs/mind/AAGH0ET.html	"[{""Label"": ""Prince Philip, Duke of Edinburgh"", ""Type"": ""P"", ""WikidataId"": ""Q80976"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [48], ""SurfaceForms"": [""Prince Philip""]}, {""Label"": ""Charles, Prince of Wales"", ""Type"": ""P"", ""WikidataId"": ""Q43274"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [28], ""SurfaceForms"": [""Prince Charles""]}, {""Label"": ""Elizabeth II"", ""Type"": ""P"", ""WikidataId"": ""Q9682"", ""Confidence"": 0.97, ""OccurrenceOffsets"": [11], ""SurfaceForms"": [""Queen Elizabeth""]}]"	[]
N43647	news	newsphotos	POWER RANKING: Here's who has the best chance of becoming the 2020 Democratic presidential nominee	We've combined Insider polling and results of Morning Consult's daily survey to create a weekly power ranking of the potential 2020 candidates.	https://assets.msn.com/labs/mind/AAAKxi7.html	[]	"[{""Label"": ""Insider Inc."", ""Type"": ""N"", ""WikidataId"": ""Q55669360"", ""Confidence"": 0.946, ""OccurrenceOffsets"": [15], ""SurfaceForms"": [""Insider""]}, {""Label"": ""Morning Consult"", ""Type"": ""O"", ""WikidataId"": ""Q28401695"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [46], ""SurfaceForms"": [""Morning Consult""]}]"
N41835	news	newsworld	Today in History: November 2		https://assets.msn.com/labs/mind/AAJwpBS.html	[]	[]
N8071	lifestyle	lifestyleroyals	25 Photos of the Royal Family at Balmoral Castle, Queen Elizabeth's Favorite Home	The royal family has been visiting the Scottish estate for more than a century.	https://assets.msn.com/labs/mind/AAGBY83.html	"[{""Label"": ""Balmoral Castle"", ""Type"": ""S"", ""WikidataId"": ""Q42049"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [33], ""SurfaceForms"": [""Balmoral Castle""]}]"	[]
N26926	lifestyle	voices	I'm Afraid to Tell My Male Bosses I'm Pregnant	Women with children are considered less competent than those without. The longer I can pretend I'm one of the women without, the better.	https://assets.msn.com/labs/mind/AACIMEV.html	"[{""Label"": ""Pregnancy"", ""Type"": ""C"", ""WikidataId"": ""Q11995"", ""Confidence"": 0.998, ""OccurrenceOffsets"": [38], ""SurfaceForms"": [""Pregnant""]}]"	[]
N49265	foodanddrink	recipes	These Cranberry Sauce Recipes Are Perfect for Thanksgiving Dinner	You'll never want the store-bought version ever again.	https://assets.msn.com/labs/mind/AAAAxVC.html	"[{""Label"": ""Cranberry sauce"", ""Type"": ""C"", ""WikidataId"": ""Q2915430"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [6], ""SurfaceForms"": [""Cranberry Sauce""]}]"	[]
N5124	sports	basketball_ncaa	Phil Fulmer blasts NCAA after key Tennessee freshman denied eligibility	Uros Plavsic, a redshirt freshman who transferred from Arizona State after a coaching change, will not be allowed to suit up for the Vols this season.	https://assets.msn.com/labs/mind/AAJJZo7.html	"[{""Label"": ""Phillip Fulmer"", ""Type"": ""P"", ""WikidataId"": ""Q7185676"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Phil Fulmer""]}, {""Label"": ""National Collegiate Athletic Association"", ""Type"": ""O"", ""WikidataId"": ""Q271805"", ""Confidence"": 0.998, ""OccurrenceOffsets"": [19], ""SurfaceForms"": [""NCAA""]}]"	[]
N42777	lifestyle	lifestyleroyals	Prince George's Royal Life in Photos	Photos of the future king of England   who is third in line for the throne, behind his father and Prince Charles.	https://assets.msn.com/labs/mind/AABDkOp.html	[]	"[{""Label"": ""Charles, Prince of Wales"", ""Type"": ""P"", ""WikidataId"": ""Q43274"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [98], ""SurfaceForms"": [""Prince Charles""]}]"
N41387	tv	tv-gallery	Can you answer these real Jeopardy questions about TV shows?	"Culling data straight from the ""Jeopardy!"" archives, Stacker will provide a ""clue"" about TV shows and then present the answer in the form of a question on the following slide. Can you answer these real ""Jeopardy!"" questions about TV shows?"	https://assets.msn.com/labs/mind/AABs6Gq.html	"[{""Label"": ""Jeopardy!"", ""Type"": ""W"", ""WikidataId"": ""Q499767"", ""Confidence"": 0.985, ""OccurrenceOffsets"": [26], ""SurfaceForms"": [""Jeopardy""]}]"	"[{""Label"": ""Jeopardy!"", ""Type"": ""W"", ""WikidataId"": ""Q499767"", ""Confidence"": 0.985, ""OccurrenceOffsets"": [32, 203], ""SurfaceForms"": [""Jeopardy"", ""Jeopardy""]}]"
N41106	sports	golf	Randall's Rant: Is Tiger already the GOAT without 18 majors?	We may never understand what Tiger Woods has gone through off the golf course, but even so, does that make him the GOAT without 18 majors?	https://assets.msn.com/labs/mind/AAJwfU7.html	"[{""Label"": ""Tiger Woods"", ""Type"": ""P"", ""WikidataId"": ""Q10993"", ""Confidence"": 0.997, ""OccurrenceOffsets"": [19], ""SurfaceForms"": [""Tiger""]}]"	"[{""Label"": ""Tiger Woods"", ""Type"": ""P"", ""WikidataId"": ""Q10993"", ""Confidence"": 0.997, ""OccurrenceOffsets"": [29], ""SurfaceForms"": [""Tiger Woods""]}]"
N37243	finance	finance-real-estate	The 25 most desirable places to live in the US in 2019	Check out where U.S. residents would live if they could.	https://assets.msn.com/labs/mind/AABvlID.html	[]	"[{""Label"": ""United States"", ""Type"": ""G"", ""WikidataId"": ""Q30"", ""Confidence"": 0.991, ""OccurrenceOffsets"": [16], ""SurfaceForms"": [""U.S.""]}]"
N20139	foodanddrink	quickandeasy	40+ Stuffed Pasta Recipes You'll Want To Make Every Night	Stuff yourself.	https://assets.msn.com/labs/mind/AAGaNFS.html	[]	[]
N9680	tv	tv-celebrity	'Bachelor's Amanda Stanton Is Dating 'Rich Kids of Beverly Hills' Star Brendan Fitzpatrick	The mom of two opened up to ET about her dating life in August.	https://assets.msn.com/labs/mind/AAISxYG.html	"[{""Label"": ""Rich Kids of Beverly Hills"", ""Type"": ""W"", ""WikidataId"": ""Q20641700"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [38], ""SurfaceForms"": [""Rich Kids of Beverly Hills""]}]"	"[{""Label"": ""Eastern Time Zone"", ""Type"": ""U"", ""WikidataId"": ""Q941023"", ""Confidence"": 0.983, ""OccurrenceOffsets"": [28], ""SurfaceForms"": [""ET""]}]"
N35518	health	voices	I'm Sorry, But Please Do Not Put Your Purse On My Couch	Welcome to my house, please drop your bag right there.	https://assets.msn.com/labs/mind/AAEKz14.html	[]	[]
N60434	lifestyle	lifestyleroyals	It's Not All About the Corgis - Here Are the Royal Family's Other Beloved Pets	We all know how much Queen Elizabeth loved her Corgis.	https://assets.msn.com/labs/mind/AADmbCD.html	"[{""Label"": ""Royal corgis"", ""Type"": ""N"", ""WikidataId"": ""Q7270307"", ""Confidence"": 0.988, ""OccurrenceOffsets"": [23], ""SurfaceForms"": [""Corgis""]}]"	"[{""Label"": ""Royal corgis"", ""Type"": ""N"", ""WikidataId"": ""Q7270307"", ""Confidence"": 0.988, ""OccurrenceOffsets"": [47], ""SurfaceForms"": [""Corgis""]}, {""Label"": ""Elizabeth II"", ""Type"": ""P"", ""WikidataId"": ""Q9682"", ""Confidence"": 0.941, ""OccurrenceOffsets"": [21], ""SurfaceForms"": [""Queen Elizabeth""]}]"
N48239	autos	autosenthusiasts	2020 Toyota Supra GT4 details announced, makes 429 horsepower	It goes on sale next year	https://assets.msn.com/labs/mind/AAJwpE1.html	[]	[]
N40045	travel	travelnews	Tim Burton's Original Art Is on Display at the Neon Museum in Las Vegas	A rare retrospective dedicated to the filmmaker's eccentric style marks the first time in nearly a decade that his artworks have been on display in the United States.	https://assets.msn.com/labs/mind/AAEmAHg.html	"[{""Label"": ""Tim Burton"", ""Type"": ""P"", ""WikidataId"": ""Q56008"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Tim Burton""]}, {""Label"": ""Neon Museum"", ""Type"": ""F"", ""WikidataId"": ""Q6993430"", ""Confidence"": 0.998, ""OccurrenceOffsets"": [47], ""SurfaceForms"": [""Neon Museum""]}, {""Label"": ""Las Vegas"", ""Type"": ""G"", ""WikidataId"": ""Q23768"", ""Confidence"": 0.99, ""OccurrenceOffsets"": [62], ""SurfaceForms"": [""Las Vegas""]}]"	"[{""Label"": ""United States"", ""Type"": ""G"", ""WikidataId"": ""Q30"", ""Confidence"": 0.981, ""OccurrenceOffsets"": [152], ""SurfaceForms"": [""United States""]}]"
N43946	movies	movies-gallery	16 Live-Action Disney Movies in the Works After 'Maleficent: Mistress of Evil' (Photos)	"The studio is raiding its vault to remake classics including ""Mulan"""	https://assets.msn.com/labs/mind/AABDmxB.html	"[{""Label"": ""Maleficent: Mistress of Evil"", ""Type"": ""N"", ""WikidataId"": ""Q54437950"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [49], ""SurfaceForms"": [""Maleficent: Mistress of Evil""]}]"	"[{""Label"": ""Mulan (1998 film)"", ""Type"": ""W"", ""WikidataId"": ""Q537407"", ""Confidence"": 0.921, ""OccurrenceOffsets"": [62], ""SurfaceForms"": [""Mulan""]}]"
N10836	foodanddrink	tipsandtricks	100 Genius Tips that Will Make Your Holidays So Much Better	From grocery shopping to cooking to using up the leftovers, we've assembled expert tips to help you through the holiday season.	https://assets.msn.com/labs/mind/AAHYSQQ.html	"[{""Label"": ""Christmas and holiday season"", ""Type"": ""C"", ""WikidataId"": ""Q3517772"", ""Confidence"": 0.924, ""OccurrenceOffsets"": [36], ""SurfaceForms"": [""Holidays""]}]"	[]
N49585	travel	traveltripideas	What's new in Germany and the Low Countries for 2019	Germany is famously a work in progress-- as are the nearby Low Countries-- and that includes their sightseeing attractions. In 2019, there's good news and a few important warnings for the smart traveler. To handle its ever-increasing number of visitors, Germany is busy renovating sights and...	https://assets.msn.com/labs/mind/AAEFJCX.html	"[{""Label"": ""Germany"", ""Type"": ""G"", ""WikidataId"": ""Q183"", ""Confidence"": 0.998, ""OccurrenceOffsets"": [14], ""SurfaceForms"": [""Germany""]}]"	"[{""Label"": ""Germany"", ""Type"": ""G"", ""WikidataId"": ""Q183"", ""Confidence"": 0.998, ""OccurrenceOffsets"": [0, 254], ""SurfaceForms"": [""Germany"", ""Germany""]}]"
N24798	lifestyle	lifestylebuzz	Millennials are killing purse sales and replacing them with backpacks	Sales of women's backpacks are consistently rising, experts say.	https://assets.msn.com/labs/mind/AABvuF4.html	[]	[]
N64668	autos	autosbuying	23 Things Car Dealerships Don't Want You To Know	With these secrets, you can get the best deal.	https://assets.msn.com/labs/mind/AADRSdD.html	"[{""Label"": ""Car dealership"", ""Type"": ""C"", ""WikidataId"": ""Q786803"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [10], ""SurfaceForms"": [""Car Dealerships""]}, {""Label"": ""White Light Parade"", ""Type"": ""O"", ""WikidataId"": ""Q15044972"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [32], ""SurfaceForms"": [""Want You To Know""]}]"	[]
N27435	sports	more_sports	Locked On Suns Wednesday: Suns blast Kings to begin 2019-20 season	What a way to begin the season for the Phoenix Suns, winning 124-95 over the Kings.	https://assets.msn.com/labs/mind/AAJgOKk.html	"[{""Label"": ""Phoenix Suns"", ""Type"": ""O"", ""WikidataId"": ""Q164177"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [10, 26], ""SurfaceForms"": [""Suns"", ""Suns""]}, {""Label"": ""Sacramento Kings"", ""Type"": ""O"", ""WikidataId"": ""Q166105"", ""Confidence"": 0.993, ""OccurrenceOffsets"": [37], ""SurfaceForms"": [""Kings""]}]"	"[{""Label"": ""Phoenix Suns"", ""Type"": ""O"", ""WikidataId"": ""Q164177"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [39], ""SurfaceForms"": [""Phoenix Suns""]}, {""Label"": ""Sacramento Kings"", ""Type"": ""O"", ""WikidataId"": ""Q166105"", ""Confidence"": 0.993, ""OccurrenceOffsets"": [77], ""SurfaceForms"": [""Kings""]}]"
N3395	tv	tv-gallery	TV shows we're most excited about for the rest of the year	"From HBO originals like ""His Dark Materials"" to the new season of Netflix's ""The Crown,"" here are some of the shows we can't wait to watch."	https://assets.msn.com/labs/mind/AAGC54l.html	[]	"[{""Label"": ""HBO"", ""Type"": ""O"", ""WikidataId"": ""Q23633"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [5], ""SurfaceForms"": [""HBO""]}, {""Label"": ""His Dark Materials"", ""Type"": ""U"", ""WikidataId"": ""Q129240"", ""Confidence"": 0.926, ""OccurrenceOffsets"": [25], ""SurfaceForms"": [""His Dark Materials""]}, {""Label"": ""Netflix"", ""Type"": ""O"", ""WikidataId"": ""Q907311"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [66], ""SurfaceForms"": [""Netflix""]}]"
N53133	lifestyle	shop-apparel	The Absolute Best One-piece Bathing Suits of 2019	One-piece bathing suits are arguably the best kind you can wear them with jeans once summer is over. Here are the best and trendiest one-pieces to buy.	https://assets.msn.com/labs/mind/AABDu5D.html	"[{""Label"": ""One-piece swimsuit"", ""Type"": ""C"", ""WikidataId"": ""Q2736850"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [18], ""SurfaceForms"": [""One-piece""]}]"	"[{""Label"": ""One-piece swimsuit"", ""Type"": ""C"", ""WikidataId"": ""Q2736850"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""One-piece""]}]"
N30702	lifestyle	voices	40 Things I Wish I Could Tell My Younger Self	From celebrities to scientists, doctors to artists, we asked some very successful people to share what they wish they had known when they were younger. You and your kids get all the great advice no time machine needed! The post 40 Things I Wish I Could Tell My Younger Self appeared first on Reader's Digest.	https://assets.msn.com/labs/mind/AADLU28.html	[]	"[{""Label"": ""Reader's Digest"", ""Type"": ""M"", ""WikidataId"": ""Q371820"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [292], ""SurfaceForms"": [""Reader's Digest""]}]"
N14538	autos	autostrucks	Why Is This Weird Chevy Colorado Test Mule Trolling Ford HQ?	It could be a Bronco test vehicle wearing a Bow Tie disguise, but some things don't add up.	https://assets.msn.com/labs/mind/AAEwL70.html	"[{""Label"": ""Ford Motor Company"", ""Type"": ""O"", ""WikidataId"": ""Q44294"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [52], ""SurfaceForms"": [""Ford""]}]"	"[{""Label"": ""Ford Bronco"", ""Type"": ""V"", ""WikidataId"": ""Q534238"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [14], ""SurfaceForms"": [""Bronco""]}, {""Label"": ""Grasshopper (rocket)"", ""Type"": ""U"", ""WikidataId"": ""Q5597534"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [21], ""SurfaceForms"": [""test vehicle""]}]"
N37188	lifestyle	lifestyledidyouknow	20 Words and Phrases You Had No Idea Were Coined in New York City	Hey, youz! Check out all these vocab gems that were born in New York City! The post 20 Words and Phrases You Had No Idea Were Coined in New York City appeared first on Reader's Digest.	https://assets.msn.com/labs/mind/AAHYStZ.html	"[{""Label"": ""New York City"", ""Type"": ""G"", ""WikidataId"": ""Q60"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [52], ""SurfaceForms"": [""New York City""]}, {""Label"": ""No Idea Records"", ""Type"": ""O"", ""WikidataId"": ""Q1157038"", ""Confidence"": 0.995, ""OccurrenceOffsets"": [29], ""SurfaceForms"": [""No Idea""]}]"	"[{""Label"": ""New York City"", ""Type"": ""G"", ""WikidataId"": ""Q60"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [60, 136], ""SurfaceForms"": [""New York City"", ""New York City""]}, {""Label"": ""No Idea Records"", ""Type"": ""O"", ""WikidataId"": ""Q1157038"", ""Confidence"": 0.995, ""OccurrenceOffsets"": [113], ""SurfaceForms"": [""No Idea""]}, {""Label"": ""Reader's Digest"", ""Type"": ""M"", ""WikidataId"": ""Q371820"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [168], ""SurfaceForms"": [""Reader's Digest""]}]"
N1032	sports	racing	All of Kevin Harvick's Monster Energy Series victories	Recap all of Kevin Harvick's Monster Energy NASCAR Cup Series wins throughout his career in the sport's top series.	https://assets.msn.com/labs/mind/AAEFXBf.html	"[{""Label"": ""Kevin Harvick"", ""Type"": ""P"", ""WikidataId"": ""Q739092"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [7], ""SurfaceForms"": [""Kevin Harvick""]}]"	"[{""Label"": ""NASCAR Cup Series"", ""Type"": ""N"", ""WikidataId"": ""Q2707177"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [29], ""SurfaceForms"": [""Monster Energy NASCAR Cup Series""]}, {""Label"": ""Kevin Harvick"", ""Type"": ""P"", ""WikidataId"": ""Q739092"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [13], ""SurfaceForms"": [""Kevin Harvick""]}]"
N30953	foodanddrink	newstrends	PCC Community Markets Plans Its First Fast Casual Restaurant Inside New Ballard Store	The massive PCC outpost will open November 13	https://assets.msn.com/labs/mind/AAJfTtm.html	"[{""Label"": ""PCC Community Markets"", ""Type"": ""O"", ""WikidataId"": ""Q7118517"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""PCC Community Markets""]}]"	"[{""Label"": ""PCC Community Markets"", ""Type"": ""O"", ""WikidataId"": ""Q7118517"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [12], ""SurfaceForms"": [""PCC""]}]"
N10886	foodanddrink	restaurantsandnews	Where to Find a Good, Cheap Sandwich in Every State	Have a craving for a great sandwich? These 50 restaurants have you covered whether your favorites include classic subs, Mexican tortas, Vietnamese banh mi, or old-fashioned barbecue. Take a look at what's available in your state and check out the unique combinations diners are enjoying all across the country.	https://assets.msn.com/labs/mind/AAGaSZu.html	[]	[]
N52386	foodanddrink	restaurantsandnews	16 major chains where you can buy plant-based versions of your fast-food favorites	Plant-based burgers are coming into the mainstream. Here are the chains where you can buy the Beyond Burger and the Impossible Burger.	https://assets.msn.com/labs/mind/AABp60R.html	[]	"[{""Label"": ""Beyond Meat"", ""Type"": ""O"", ""WikidataId"": ""Q18205509"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [94], ""SurfaceForms"": [""Beyond Burger""]}, {""Label"": ""Impossible Foods"", ""Type"": ""O"", ""WikidataId"": ""Q21515382"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [116], ""SurfaceForms"": [""Impossible Burger""]}, {""Label"": ""Plant-based diet"", ""Type"": ""U"", ""WikidataId"": ""Q7201457"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Plant-based""]}]"
N22218	lifestyle	lifestylemindandsoul	Do You Hate Meditating? So Do These People, But They Do It Anyway	We all know we should meditate; from mitigating chronic pain to easing the physical symptoms of anxiety, meditation has long been touted as a panacea for the people. In fact, meditation is the fastest-growing health trend in the U.S., and with new apps and retreats being introduced every day, it doesn't look like it's slowing	https://assets.msn.com/labs/mind/AAB2vyJ.html	[]	"[{""Label"": ""United States"", ""Type"": ""G"", ""WikidataId"": ""Q30"", ""Confidence"": 0.996, ""OccurrenceOffsets"": [229], ""SurfaceForms"": [""U.S.""]}]"
N57388	sports	baseball_mlb	So far the World Series is one big reminder that you can't predict October baseball	You only needed to stand by the exit of Minute Maid Park for a few minutes in the eighth inning of World Series Game 2 to know what Astros fans thought of the mauling that was still taking place.	https://assets.msn.com/labs/mind/AAJgOP5.html	"[{""Label"": ""World Series"", ""Type"": ""E"", ""WikidataId"": ""Q265538"", ""Confidence"": 0.951, ""OccurrenceOffsets"": [11], ""SurfaceForms"": [""World Series""]}]"	"[{""Label"": ""Houston Astros"", ""Type"": ""O"", ""WikidataId"": ""Q848117"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [132], ""SurfaceForms"": [""Astros""]}, {""Label"": ""World Series"", ""Type"": ""E"", ""WikidataId"": ""Q265538"", ""Confidence"": 0.951, ""OccurrenceOffsets"": [99], ""SurfaceForms"": [""World Series""]}, {""Label"": ""Minute Maid Park"", ""Type"": ""S"", ""WikidataId"": ""Q1193671"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [40], ""SurfaceForms"": [""Minute Maid Park""]}]"
N30389	entertainment	celebrity	40 Celebrity Mothers and Daughters at the Same Age	These are some good genes.	https://assets.msn.com/labs/mind/AAAM2R4.html	"[{""Label"": ""Mothers and Daughters (2016 film)"", ""Type"": ""W"", ""WikidataId"": ""Q20714861"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [13], ""SurfaceForms"": [""Mothers and Daughters""]}]"	[]
N16104	foodanddrink	restaurantsandnews	The Top 50 Fast Food Restaurants in America	Find out how your favorite fast food joint stacks up against the rest.	https://assets.msn.com/labs/mind/AACJNCJ.html	"[{""Label"": ""Fast food restaurant"", ""Type"": ""C"", ""WikidataId"": ""Q1751429"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [11], ""SurfaceForms"": [""Fast Food Restaurants""]}, {""Label"": ""United States"", ""Type"": ""G"", ""WikidataId"": ""Q30"", ""Confidence"": 0.99, ""OccurrenceOffsets"": [36], ""SurfaceForms"": [""America""]}, {""Label"": ""Top 40"", ""Type"": ""U"", ""WikidataId"": ""Q6148929"", ""Confidence"": 0.949, ""OccurrenceOffsets"": [4], ""SurfaceForms"": [""Top 50""]}]"	[]
N25540	finance	finance-saving-investing	Take heart, millennials: Investing is within your reach	News headlines might lead you to believe that millennials are striking out on a growing list of financial accomplishments.	https://assets.msn.com/labs/mind/AAEmGBr.html	[]	[]
N51343	video	viral	Viral college football fan under fire for past offensive tweets	"Carson King, who held up a sign on television asking for ""beer money,"" has raised $2 million for a children's hospital. This comes as his past offensive tweets were revealed in a newspaper profile. NBC's Molly Hunter reports for Weekend TODAY."	https://assets.msn.com/labs/mind/AAHYTLj.html	"[{""Label"": ""Viral video"", ""Type"": ""C"", ""WikidataId"": ""Q1030329"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Viral""]}]"	"[{""Label"": ""Weekend Today"", ""Type"": ""W"", ""WikidataId"": ""Q7979443"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [229], ""SurfaceForms"": [""Weekend TODAY""]}, {""Label"": ""NBC"", ""Type"": ""O"", ""WikidataId"": ""Q13974"", ""Confidence"": 0.998, ""OccurrenceOffsets"": [198], ""SurfaceForms"": [""NBC""]}]"
N60774	video	viral	Watch this priest perform a 'spirited' dance at pep rally	A priest in Fort Lauderdale, Florida, walked onto the scene as a cheer squad was performing a routine at a pep rally, and proceeded to give a whole new meaning to the term school spirit! TODAY's Hoda Kotb has your Morning Boost.	https://assets.msn.com/labs/mind/AAJwfcn.html	[]	"[{""Label"": ""Hoda Kotb"", ""Type"": ""P"", ""WikidataId"": ""Q5875916"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [195], ""SurfaceForms"": [""Hoda Kotb""]}, {""Label"": ""Today (American TV program)"", ""Type"": ""N"", ""WikidataId"": ""Q130838"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [187], ""SurfaceForms"": [""TODAY""]}, {""Label"": ""Fort Lauderdale, Florida"", ""Type"": ""G"", ""WikidataId"": ""Q165972"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [12], ""SurfaceForms"": [""Fort Lauderdale""]}, {""Label"": ""Florida"", ""Type"": ""G"", ""WikidataId"": ""Q812"", ""Confidence"": 0.998, ""OccurrenceOffsets"": [29], ""SurfaceForms"": [""Florida""]}]"
N37129	finance	finance-taxes	Don't Be Like These Celebrities Convicted of Tax Evasion	These celebs were in hot water with the taxman.	https://assets.msn.com/labs/mind/AAEGGF9.html	"[{""Label"": ""Tax evasion"", ""Type"": ""C"", ""WikidataId"": ""Q6502151"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [45], ""SurfaceForms"": [""Tax Evasion""]}]"	[]
N64723	sports	football_nfl	All eyes on Drew Brees as possibility of return nears	"Will this be the week Drew Brees returns as the Saints starting quarterback? ""That's the plan, we'll see,"" Brees responded when he was asked Wednesday about playing Sunday against the Arizona Cardinals. Brees had surgery to repair a ligament in his right thumb on Sept. 18. During Wednesday's walk-through practice Brees could be seen flexing his thumb, which was still in a brace. We will see what Brees' participation in the walk-through was after..."	https://assets.msn.com/labs/mind/AAJfTvv.html	"[{""Label"": ""Drew Brees"", ""Type"": ""P"", ""WikidataId"": ""Q38952"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [12], ""SurfaceForms"": [""Drew Brees""]}]"	"[{""Label"": ""Drew Brees"", ""Type"": ""P"", ""WikidataId"": ""Q38952"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [22, 107, 203, 315, 399], ""SurfaceForms"": [""Drew Brees"", ""Brees"", ""Brees"", ""Brees"", ""Brees""]}, {""Label"": ""New Orleans Saints"", ""Type"": ""O"", ""WikidataId"": ""Q172435"", ""Confidence"": 0.993, ""OccurrenceOffsets"": [48], ""SurfaceForms"": [""Saints""]}, {""Label"": ""Arizona Cardinals"", ""Type"": ""O"", ""WikidataId"": ""Q224164"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [184], ""SurfaceForms"": [""Arizona Cardinals""]}]"
N3080	foodanddrink	newstrends	Restaurants to Satisfy Late Night Cravings in Louisville and Beyond	Maybe you need a tasty meal to eat after a long night of drinking and having fun, or perhaps you work the late shift. Either way, a restaurant that's open 24 hours or close to it is what you need. Here are restaurants where you can get a bite late at night or very, very early. See what Louisville has for night owls.	https://assets.msn.com/labs/mind/AAGaSrN.html	"[{""Label"": ""Louisville, Kentucky"", ""Type"": ""G"", ""WikidataId"": ""Q43668"", ""Confidence"": 0.946, ""OccurrenceOffsets"": [46], ""SurfaceForms"": [""Louisville""]}]"	"[{""Label"": ""Louisville, Kentucky"", ""Type"": ""G"", ""WikidataId"": ""Q43668"", ""Confidence"": 0.946, ""OccurrenceOffsets"": [287], ""SurfaceForms"": [""Louisville""]}]"
N40494	lifestyle	lifestyleroyals	Cutest photos of the royal Cambridge kids	See the best photos of Prince George, Princess Charlotte and Prince Louis!	https://assets.msn.com/labs/mind/AAAM6VA.html	[]	"[{""Label"": ""Prince Louis of Cambridge"", ""Type"": ""P"", ""WikidataId"": ""Q38668629"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [61], ""SurfaceForms"": [""Prince Louis""]}, {""Label"": ""Prince George of Cambridge"", ""Type"": ""P"", ""WikidataId"": ""Q13590412"", ""Confidence"": 0.976, ""OccurrenceOffsets"": [23], ""SurfaceForms"": [""Prince George""]}, {""Label"": ""Princess Charlotte of Cambridge"", ""Type"": ""P"", ""WikidataId"": ""Q18002970"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [38], ""SurfaceForms"": [""Princess Charlotte""]}]"
N15839	autos	autossuvs	2021 Cadillac Escalade's Interior Spied for Real	The next-gen SUV will be getting a large curved touchscreen atop the dashboard.	https://assets.msn.com/labs/mind/AAEL0fm.html	"[{""Label"": ""Cadillac Escalade"", ""Type"": ""V"", ""WikidataId"": ""Q830369"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [5], ""SurfaceForms"": [""Cadillac Escalade""]}]"	"[{""Label"": ""Sport utility vehicle"", ""Type"": ""C"", ""WikidataId"": ""Q192152"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [13], ""SurfaceForms"": [""SUV""]}]"
